nta_code,median_income,median_rent,acs_population,n_tracts
BK09,178617.0,2808.0,25277.0,6.0
BK17,79864.0,1607.0,58849.0,18.0
BK19,52948.0,1580.0,34463.0,9.0
BK21,39538.0,873.0,33806.0,8.0
BK23,52010.0,1387.0,17662.0,4.0
BK25,67165.0,1680.0,43964.0,16.0
BK26,56517.0,1373.0,25310.0,7.0
BK27,78233.0,1764.0,32533.0,11.0
BK28,64778.0,1658.0,88229.0,26.0
BK29,71896.0,1627.0,67725.0,18.0
BK30,77619.0,1715.0,43425.0,17.0
BK31,89520.0,1784.0,82926.0,28.0
BK32,75662.0,1803.0,52622.0,14.0
BK33,147364.0,2379.0,42120.0,11.0
BK34,63713.0,1699.0,37667.0,10.0
BK35,69781.0,1776.0,75679.0,18.0
BK37,183587.0,2794.0,65242.0,17.0
BK38,145968.0,2470.0,36104.0,10.0
BK40,141371.0,2401.0,15141.0,4.0
BK41,77909.0,1833.0,34442.0,8.0
BK42,82897.0,1703.0,98667.0,24.0
BK43,71501.0,1653.0,55385.0,18.0
BK44,74878.0,1725.0,40723.0,15.0
BK45,104526.0,2025.0,42226.0,18.0
BK46,76163.0,1954.0,20701.0,9.0
BK50,85536.0,1710.0,82099.0,32.0
BK58,85281.0,1692.0,67826.0,27.0
BK60,72829.0,1617.0,67452.0,17.0
BK61,77168.0,1706.0,93701.0,22.0
BK63,72698.0,1700.0,40345.0,9.0
BK64,150273.0,2398.0,23921.0,6.0
BK68,105701.0,2001.0,30438.0,9.0
BK69,112533.0,2509.0,40156.0,10.0
BK72,33391.0,1398.0,34337.0,7.0
BK73,128876.0,2671.0,64311.0,13.0
BK75,73368.0,1904.0,77827.0,18.0
BK76,127969.0,2491.0,28966.0,9.0
BK77,73742.0,2001.0,54107.0,13.0
BK78,76617.0,2003.0,69489.0,20.0
BK79,57870.0,1383.0,40131.0,10.0
BK81,33248.0,1008.0,57472.0,15.0
BK82,56358.0,1401.0,95040.0,25.0
BK83,67296.0,1687.0,50528.0,16.0
BK85,50159.0,1437.0,31134.0,9.0
BK88,54027.0,1696.0,106571.0,28.0
BK90,97629.0,2046.0,34033.0,9.0
BK91,76985.0,1619.0,51766.0,19.0
BK93,34939.0,943.0,12779.0,2.0
BK95,68546.0,1631.0,20109.0,5.0
BK96,63984.0,1539.0,57236.0,17.0
BK99,,,36.0,11.0
BX01,28554.0,1062.0,33927.0,8.0
BX03,68586.0,1523.0,32270.0,7.0
BX05,43261.0,1570.0,56839.0,11.0
BX06,35440.0,1392.0,28783.0,5.0
BX07,47036.0,1425.0,26675.0,6.0
BX08,43467.0,1404.0,33738.0,7.0
BX09,61535.0,1335.0,47657.0,11.0
BX10,76491.0,1866.0,23324.0,5.0
BX14,42853.0,1375.0,66263.0,14.0
BX17,30820.0,1218.0,45193.0,12.0
BX22,116406.0,1887.0,28611.0,9.0
BX26,37838.0,1243.0,38921.0,7.0
BX27,35077.0,1228.0,19655.0,6.0
BX28,52169.0,1505.0,48699.0,10.0
BX29,89282.0,1960.0,32306.0,9.0
BX30,44741.0,1449.0,33393.0,6.0
BX31,88824.0,1674.0,30850.0,11.0
BX33,36944.0,1218.0,29278.0,5.0
BX34,30236.0,1104.0,42760.0,8.0
BX35,38234.0,1180.0,33801.0,7.0
BX36,33140.0,1313.0,57396.0,14.0
BX37,65120.0,1734.0,28530.0,12.0
BX39,26930.0,925.0,53782.0,12.0
BX40,39353.0,1511.0,23131.0,4.0
BX41,43042.0,1446.0,55070.0,13.0
BX43,50055.0,1538.0,29549.0,6.0
BX44,56510.0,1546.0,65013.0,20.0
BX46,59700.0,1642.0,30221.0,5.0
BX49,77622.0,1691.0,28896.0,9.0
BX52,85113.0,1744.0,49064.0,15.0
BX55,40978.0,1355.0,35762.0,9.0
BX59,57091.0,1627.0,27773.0,7.0
BX62,78117.0,1630.0,45309.0,14.0
BX63,40832.0,1382.0,35854.0,6.0
BX75,37947.0,1250.0,23326.0,6.0
BX98,,,4446.0,1.0
BX99,,1589.0,95.0,6.0
MN01,59017.0,1486.0,52446.0,7.0
MN03,54425.0,1341.0,89947.0,16.0
MN04,65619.0,1818.0,53354.0,7.0
MN06,44556.0,1331.0,23487.0,5.0
MN09,94716.0,1987.0,56027.0,10.0
MN11,68758.0,1638.0,49776.0,10.0
MN12,140206.0,2299.0,136482.0,16.0
MN13,130172.0,2543.0,72670.0,14.0
MN14,174396.0,2954.0,34690.0,5.0
MN15,117576.0,2374.0,26483.0,4.0
MN17,161430.0,3151.0,30502.0,17.0
MN19,160740.0,2907.0,41960.0,10.0
MN20,144080.0,2931.0,40595.0,6.0
MN21,153847.0,2985.0,26083.0,4.0
MN22,103022.0,2261.0,34083.0,6.0
MN23,165526.0,2894.0,63766.0,14.0
MN24,182657.0,2802.0,44604.0,10.0
MN25,192111.0,3480.0,48693.0,7.0
MN27,52430.0,1395.0,36556.0,7.0
MN28,45941.0,1014.0,71568.0,15.0
MN31,144726.0,2772.0,51935.0,7.0
MN32,136798.0,2415.0,48963.0,7.0
MN33,44054.0,1330.0,58525.0,11.0
MN34,35985.0,1132.0,60733.0,11.0
MN35,74487.0,1697.0,72208.0,11.0
MN36,59703.0,1543.0,89589.0,12.0
MN40,197783.0,2783.0,53138.0,14.0
