camis,dba,boro,building,street,zipcode,phone,cuisine,latitude,longitude,nta_code,community_board,council_district,never_inspected,n_inspections,first_inspection,last_inspection,avg_score,latest_score,latest_grade,total_violations,total_critical,ever_closed
30075445,MORRIS PARK BAKE SHOP,Bronx,1007,MORRIS PARK AVENUE,10462,7188924968,BAKERY PRODUCTS/DESSERTS,40.84823122453,-73.85597188993,BX37,211,13,false,4,2023-08-01,2026-02-27,16.75,7,A,11,5,false
30191841,D.J. REYNOLDS,Manhattan,351,WEST 57 STREET,10019,2122452912,IRISH,40.76732571155,-73.98431042362,MN15,104,3,false,3,2024-11-20,2026-07-30,15.67,13,A,11,6,false
40356078,"I. & L. DELICACIES,INC.",Manhattan,1500-2N,D AVE.,,,UNKNOWN,,,,,,true,,,,,,,,,false
40356483,WILKEN'S FINE FOOD,Brooklyn,7114,AVENUE U,11234,7184443838,SANDWICHES,40.62011159093,-73.9069894897,BK45,318,46,false,5,2023-11-16,2026-06-10,21.5,12,A,18,9,false
40356731,TASTE THE TROPICS ICE CREAM,Brooklyn,1839,NOSTRAND AVENUE,11226,7188560821,FROZEN DESSERTS,40.64079501746,-73.94848798153,BK95,317,45,false,3,2024-04-08,2026-06-25,9.67,5,A,8,2,false
40357217,ASIA PLAZA CAFÉ,Bronx,2300,SOUTHERN BOULEVARD,10460,7187411426,AMERICAN,40.850536752,-73.88245508146,BX99,227,15,false,2,2024-05-21,2025-10-20,12.0,12,A,4,2,false
40357297,O & G GROCERIES,Manhattan,112,GREENWICH AVENUE,10011,,UNKNOWN,40.73847384341,-74.00222647504,MN23,102,3,true,,,,,,,,,false
40359480,1 EAST 66TH STREET KITCHEN,Manhattan,1,EAST 66 STREET,10065,2128793900,AMERICAN,40.76854691423,-73.96958057845,MN40,108,4,false,1,2025-12-02,2025-12-02,10.0,10,A,2,1,false
40359483,ANTHONY ASPERTI,Staten Island,30,GARIBALDI AVE,10306,,UNKNOWN,40.56228251954,-74.10164286206,SI45,502,50,true,,,,,,,,,false
40359705,NATHAN'S FAMOUS,Brooklyn,1310,SURF AVENUE,11224,7183332202,HOTDOGS,40.57553686942,-73.98165226411,BK21,313,47,false,3,2024-07-24,2026-05-07,23.33,12,A,13,8,false
